arb_pollen_data_id,site_id,sample_id,pcnt_arb_pollen
1,1,1,48.852459016393446
2,1,2,44.333333333333336
3,1,3,60.06944444444444
4,1,4,55.66502463054187
5,1,5,65.51724137931035
6,1,6,60.29411764705882
7,1,7,55.248618784530386
8,1,8,63.39285714285714
9,1,9,68.09651474530831
10,1,10,66.37931034482759
11,1,11,62.94964028776979
12,1,12,66.38477801268499
13,1,13,61.77156177156177
14,1,14,58.14977973568282
15,1,15,57.142857142857146
16,1,16,77.41935483870967
17,1,17,69.51219512195121
18,1,18,65.97014925373135
19,1,19,64.93212669683258
20,1,20,69.16167664670658
21,1,21,32.911392405063296
22,1,22,31.880108991825615
23,1,23,47.15447154471544
24,1,24,38.95348837209302
25,1,25,54.647887323943664
26,1,26,47.214854111405835
27,1,27,52.661064425770306
28,1,28,26.88679245283019
29,1,29,30.120481927710845
30,1,30,34.12698412698413
31,1,31,66.15384615384615
32,1,32,35.06944444444444
33,1,33,31.987577639751557
34,1,34,72.87234042553192
35,1,35,50.56179775280899
36,1,36,42.30769230769231
37,1,37,73.42995169082126
38,1,38,58.69565217391304
39,1,39,60.752688172043015
40,1,40,48.88888888888889
41,1,41,59.04255319148936
42,1,42,52.86624203821656
43,1,43,55.87044534412955
44,1,44,43.712574850299404
45,1,45,50.67567567567568
46,1,46,59.016393442622956
47,1,47,59.23566878980892
48,1,48,71.54471544715446
49,1,49,28.658536585365855
50,1,50,62.244897959183675
51,1,51,40.95238095238095
52,1,52,63.272727272727266
53,1,53,50.98039215686274
54,1,54,66.13756613756614
55,1,55,41.711229946524064
56,1,56,48.47161572052402
57,1,57,45.5026455026455
58,1,58,48.0225988700565
59,1,59,57.64192139737992
60,1,60,54.93333333333333
61,1,61,60.396039603960396
62,1,62,51.06382978723404
63,1,63,52.760736196319016
64,1,64,63.49206349206349
65,1,65,72.265625
66,1,66,59.67741935483871
67,1,67,44.623655913978496
68,1,68,45.3781512605042
69,1,69,17.46987951807229
70,1,70,47.79874213836478
71,1,71,46.10778443113772
72,1,72,42.473118279569896
73,1,73,43.28358208955224
74,1,74,44.33656957928803
75,1,75,64.3312101910828
76,1,76,66.66666666666667
77,1,77,55.714285714285715
78,1,78,42.58064516129033
79,1,79,46.082949308755765
80,1,80,59.87261146496816
81,1,81,38.095238095238095
82,1,82,33.16831683168317
83,1,83,47.36842105263158
84,1,84,53.220338983050844
85,1,85,74.6875
86,1,86,65.85365853658537
87,1,87,75.11111111111111
88,1,88,58.55263157894736
89,1,89,64.92890995260663
90,1,90,57.67195767195767
91,1,91,48.857142857142854
92,1,92,67.18146718146718
93,1,93,50.43988269794722
94,1,94,59.47242206235012
95,1,95,28.04878048780488
96,1,96,36.75675675675676
97,1,97,88.88888888888889
98,1,98,77.77777777777777
99,2,99,22.16494822502138
100,2,100,41.95804247260092
101,2,101,37.94466459751128
102,2,102,46.12676012516019
103,2,103,40.28436100482944
104,2,104,50.381679415702806
105,2,105,33.415840923786206
106,2,106,39.17910265922549
107,2,107,38.68613108992578
108,2,108,46.415094256401105
109,2,109,51.953125
110,2,110,38.5135135054588
111,2,111,47.073169231414816
112,2,112,43.72294330596924
113,2,113,42.01877915859225
114,2,114,39.99999982118607
115,2,115,38.79310345649717
116,2,116,43.10344934463504
117,2,117,30.45267462730411
118,2,118,36.53846073150637
119,2,119,53.2000001966953
120,2,120,63.11475419998168
121,2,121,41.596639156341524
122,2,122,38.86792469024654
123,2,123,42.083334088325486
124,2,124,40.49295735359194
125,2,125,40.19138717651363
126,2,126,44.444444358348804
127,2,127,36.82310414314275
128,2,128,32.51231539249421
129,2,129,49.8550723195076
130,2,130,38.80000042915345
131,2,131,42.96875
132,2,132,42.53393629193304
133,2,133,40.52044701576235
134,2,134,43.57798063755039
135,2,135,44.39024496078487
136,2,136,44.486692786216715
137,2,137,37.56345129013065
138,2,138,33.9682539105415
139,2,139,33.22580659389499
140,2,140,36.180904388427706
141,2,141,26.24999982118607
142,2,142,27.41312718391423
143,2,143,31.11888086795811
144,2,144,38.839286237955086
145,2,145,37.28813672065733
146,2,146,33.6879436373711
147,2,147,34.39490556716915
148,2,148,32.51231455802918
149,2,149,43.712575256824486
150,2,150,45.32710248231886
151,2,151,44.27480930089946
